cid; 	 iupac; 	 groups (semicolon delimited);
mobley_2295058; 	 methyl paraben 	; phenol or hydroxyhetarene; carboxylic acid ester; aromatic
mobley_2310185; 	 ethanol 	; primary alcohol
mobley_2316618; 	 1-(2-hydroxyethylamino)-9,10-anthraquinone 	; ketone; primary alcohol; 1,2-aminoalcohol; secondary amine; secondary aliphatic/aromatic amine (alkylarylamine); aromatic
mobley_2328633; 	 pentylcyclopentane 	; 
mobley_2341732; 	 methyl pentanoate 	; carboxylic acid ester
mobley_2354112; 	 3-ethylphenol 	; phenol or hydroxyhetarene; aromatic
mobley_2364370; 	 butyl acetate 	; carboxylic acid ester
mobley_2371092; 	 3,4-dimethylpyridine 	; aromatic; heterocyclic
mobley_2390199; 	 heptan-4-one 	; ketone
mobley_2402487; 	 diethyl propanedioate 	; carboxylic acid ester
mobley_2410897; 	 ethanamine 	; primary amine; primary aliphatic amine (alkylamine)
mobley_2422586; 	 1-methoxypropane 	; dialkyl ether
mobley_242480; 	 1,4-diamino-9,10-anthracenedione 	; ketone; primary amine; primary aromatic amine; aromatic
mobley_2451097; 	 benzonitrile 	; carbonitrile; aromatic
mobley_2457863; 	 3-methoxyphenol 	; phenol or hydroxyhetarene; alkyl aryl ether; aromatic
mobley_2481002; 	 trichloro(nitro)methane 	; halogen derivative
mobley_2484519; 	 benzyl chloride 	; alkyl chloride; aromatic
mobley_2487143; 	 hexan-2-one 	; ketone
mobley_2489709; 	 1,2-dichlorobenzene 	; aryl chloride; aromatic
mobley_2492140; 	 1,1,1,2,2-pentachloroethane 	; alkyl chloride
mobley_2493732; 	 1,1-dichloroethylene 	; ketene acetal or derivative; halogen derivative
mobley_2501588; 	 profluralin 	; tertiary amine; tertiary aliphatic/aromatic amine (alkylarylamine); halogen derivative; nitro; aromatic
mobley_2517158; 	 1-bromoheptane 	; alkyl bromide
mobley_2518989; 	 dialifor 	; alkyl chloride; carboxylic acid imide, N-substituted; thiophosphoric acid ester; aromatic; heterocyclic
mobley_2523689; 	 5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one 	; primary amine; primary aromatic amine; aryl chloride; oxo(het)arene; aromatic; heterocyclic
mobley_252413; 	 2,2-dimethylpentane 	; 
mobley_2577969; 	 pyrene 	; aromatic
mobley_2607611; 	 hexyl acetate 	; carboxylic acid ester
mobley_2609604; 	 3,3-dimethylpentane 	; 
mobley_2613240; 	 1,2-dimethoxybenzene 	; alkyl aryl ether; aromatic
mobley_2636578; 	 3-nitrooxypropyl nitrate 	; anion
mobley_2659552; 	 N,N-4-trimethylbenzamide 	; tertiary carboxylic acid amide; aromatic
mobley_2661134; 	 3-hydroxybenzonitrile 	; phenol or hydroxyhetarene; carbonitrile; aromatic
mobley_2681549; 	 1,3,5-trichlorobenzene 	; aryl chloride; aromatic
mobley_2689721; 	 cyclohexane 	; 
mobley_2693089; 	 2-isobutylpyrazine 	; aromatic; heterocyclic
mobley_2725215; 	 nitralin 	; tertiary amine; tertiary aliphatic/aromatic amine (alkylarylamine); nitro; sulfone; aromatic
mobley_2725802; 	 1-pyrrolidin-1-ylethanone 	; tertiary carboxylic acid amide; heterocyclic
mobley_2727678; 	 5-iodouracil 	; aryl iodide; oxo(het)arene; aromatic; heterocyclic
mobley_2751110; 	 4-nitrophenol 	; phenol or hydroxyhetarene; nitro; aromatic
mobley_2763835; 	 ethoxybenzene 	; alkyl aryl ether; aromatic
mobley_2771569; 	 1-methylpiperazine 	; secondary amine; secondary aliphatic amine (dialkylamine); tertiary amine; tertiary aliphatic amine (trialkylamine); heterocyclic
mobley_2782339; 	 phthalimide 	; carboxylic acid imide, N-unsubstituted; aromatic; heterocyclic
mobley_2784376; 	 cyclopropane 	; 
mobley_2789243; 	 3-chloropyridine 	; aryl chloride; aromatic; heterocyclic
mobley_2792521; 	 (2E)-hex-2-enal 	; aldehyde; alkene
mobley_2802855; 	 1-bromobutane 	; alkyl bromide
mobley_282648; 	 naphthalene 	; aromatic
mobley_2837389; 	 pyrrole 	; aromatic; heterocyclic
mobley_2844990; 	 1,2,3,7-tetrachlorodibenzo-p-dioxin 	; diaryl ether; aryl chloride; aromatic; heterocyclic
mobley_2845466; 	 2,3,7,8-tetrachlorodibenzo-p-dioxin 	; diaryl ether; aryl chloride; aromatic; heterocyclic
mobley_2850833; 	 2-hydroxybenzaldehyde 	; aldehyde; phenol or hydroxyhetarene; aromatic
mobley_2859600; 	 styrene 	; alkene; aromatic
mobley_2864987; 	 pentan-2-ol 	; secondary alcohol
mobley_2881590; 	 isobutyl nitrate 	; nitrate
mobley_2913224; 	 acetylsalicylic acid 	; carboxylic acid; carboxylic acid ester; aromatic
mobley_2923700; 	 4-ethylphenol 	; phenol or hydroxyhetarene; aromatic
mobley_2925352; 	 p-cresol 	; phenol or hydroxyhetarene; aromatic
mobley_2929847; 	 3-methylbutanoic acid 	; carboxylic acid
mobley_2958326; 	 N-propylpropan-1-amine 	; secondary amine; secondary aliphatic amine (dialkylamine)
mobley_2960202; 	 1,2,3,4,7,8-hexachlorodibenzo-p-dioxin 	; diaryl ether; aryl chloride; aromatic; heterocyclic
mobley_296847; 	 pyridine 	; aromatic; heterocyclic
mobley_2972345; 	 9,10-dihydroanthracene 	; aromatic
mobley_2972906; 	 thiophene 	; aromatic; heterocyclic
mobley_299266; 	 2-methylprop-1-ene 	; alkene
mobley_2996632; 	 chloroform 	; halogen derivative
mobley_3006808; 	 2,2,2-trifluoroethanol 	; primary alcohol; halogen derivative
mobley_303222; 	 prop-1-ene 	; alkene
mobley_3034976; 	 acetic acid 	; carboxylic acid
mobley_3040612; 	 1-ethyl-2-methylbenzene 	; aromatic
mobley_3047364; 	 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine 	; thioether; secondary amine; secondary aliphatic/aromatic amine (alkylarylamine); aromatic; heterocyclic
mobley_3053621; 	 benzene 	; aromatic
mobley_3060426; 	 2,2,5-trimethylhexane 	; 
mobley_3083321; 	 dimethoxymethane 	; acetal
mobley_3105103; 	 terbacil 	; aryl chloride; oxo(het)arene; aromatic; heterocyclic
mobley_313406; 	 propan-1-ol 	; primary alcohol
mobley_3144334; 	 2,5-dimethylphenol 	; phenol or hydroxyhetarene; aromatic
mobley_3151666; 	 decan-1-ol 	; primary alcohol
mobley_3167746; 	 octane 	; 
mobley_3169935; 	 2-chloroaniline 	; primary amine; primary aromatic amine; aryl chloride; aromatic
mobley_3183805; 	 1,2,4-trimethylbenzene 	; aromatic
mobley_3187514; 	 2-methylaniline 	; primary amine; primary aromatic amine; aromatic
mobley_3201701; 	 pirimor 	; tertiary amine; tertiary aliphatic/aromatic amine (alkylarylamine); carbamic acid ester (urethane); aromatic; heterocyclic
mobley_3210206; 	 1,2-dinitroxypropane 	; nitrate
mobley_3211679; 	 cyclohexene 	; alkene
mobley_3234716; 	 p-xylene 	; aromatic
mobley_3259411; 	 glycerol 	; primary alcohol; secondary alcohol; 1,2-diol
mobley_3264884; 	 naphthalen-2-amine 	; primary amine; primary aromatic amine; aromatic
mobley_3265457; 	 2-chlorosyringaldehyde 	; aldehyde; phenol or hydroxyhetarene; alkyl aryl ether; aryl chloride; aromatic
mobley_3266352; 	 N-methyl-N-(2,2,2-trifluoroethyl)aniline 	; tertiary amine; tertiary aliphatic/aromatic amine (alkylarylamine); halogen derivative; aromatic
mobley_3269565; 	 2-methoxypropane 	; dialkyl ether
mobley_3269819; 	 1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene 	; aryl chloride; aromatic
mobley_3274817; 	 2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate 	; phenol or hydroxyhetarene; nitro; aromatic
mobley_3318135; 	 nonan-5-one 	; ketone
mobley_3323117; 	 sulfolane 	; cation; heterocyclic
mobley_3325209; 	 trimethoxymethylbenzene 	; orthocarboxylic acid derivative; orthoester; aromatic
mobley_3359593; 	 4-propylguaiacol 	; phenol or hydroxyhetarene; alkyl aryl ether; aromatic
mobley_3370989; 	 1,1-difluoroethane 	; alkyl fluoride
mobley_337666; 	 5-fluorouracil 	; aryl fluoride; oxo(het)arene; aromatic; heterocyclic
mobley_3378420; 	 nonan-1-ol 	; primary alcohol
mobley_3395921; 	 tetrahydropyran 	; dialkyl ether; heterocyclic
mobley_3398536; 	 iodobenzene 	; aryl iodide; aromatic
mobley_3414356; 	 2-methylpentan-2-ol 	; tertiary alcohol
mobley_3425174; 	 chloro-fluoro-methane 	; alkyl fluoride; alkyl chloride
mobley_3452749; 	 1,2,3-trimethylbenzene 	; aromatic
mobley_349850; 	 1-(p-tolyl)ethanone 	; ketone; aromatic
mobley_3515580; 	 2-methoxyphenol 	; phenol or hydroxyhetarene; alkyl aryl ether; aromatic
mobley_352111; 	 2-acetoxyethyl acetate 	; carboxylic acid ester
mobley_3525176; 	 pentylbenzene 	; aromatic
mobley_3546460; 	 hexan-1-ol 	; primary alcohol
mobley_3572203; 	 pentyl propanoate 	; carboxylic acid ester
mobley_3573480; 	 heptan-2-one 	; ketone
mobley_3589456; 	 2-chloro-1,1,1-trimethoxy-ethane 	; alkyl chloride; orthocarboxylic acid derivative; orthoester
mobley_36119; 	 octan-1-ol 	; primary alcohol
mobley_3639400; 	 1-chlorobutane 	; alkyl chloride
mobley_3663158; 	 naphthalen-2-ol 	; phenol or hydroxyhetarene; aromatic
mobley_3682850; 	 cyclohexanone 	; ketone
mobley_3686115; 	 1,1-diethoxyethane 	; acetal
mobley_3690931; 	 propyl butanoate 	; carboxylic acid ester
mobley_3709920; 	 non-1-ene 	; alkene
mobley_3715043; 	 1,4-dimethylnaphthalene 	; aromatic
mobley_3727287; 	 quinone 	; ketone; alkene
mobley_3738859; 	 1-bromo-pentane 	; alkyl bromide
mobley_3746675; 	 isopropenylbenzene 	; alkene; aromatic
mobley_3761215; 	 1,1,1-trichloroethane 	; halogen derivative
mobley_3762186; 	 dichloromethane 	; alkyl chloride
mobley_3775790; 	 1-methylpyrrole 	; aromatic; heterocyclic
mobley_3777264; 	 3-nitroaniline 	; primary amine; primary aromatic amine; nitro; aromatic
mobley_3802803; 	 hexyl nitrate 	; nitrate
mobley_3843583; 	 naphthalen-1-amine 	; primary amine; primary aromatic amine; aromatic
mobley_3867265; 	 acetone 	; ketone
mobley_3968043; 	 cyclopentanone 	; ketone
mobley_3968739; 	 methyl benzoate 	; carboxylic acid ester; aromatic
mobley_3969312; 	 benzaldehyde 	; aldehyde; aromatic
mobley_397645; 	 ethyl benzoate 	; carboxylic acid ester; aromatic
mobley_3976574; 	 1,2,3,4,7-pentachlorodibenzo-p-dioxin 	; diaryl ether; aryl chloride; aromatic; heterocyclic
mobley_3980099; 	 1,2,3-trichlorobenzene 	; aryl chloride; aromatic
mobley_3982371; 	 methyl acetate 	; carboxylic acid ester
mobley_3999471; 	 1,1-dichloroethane 	; alkyl chloride
mobley_4013838; 	 2,4-dimethylpentan-3-one 	; ketone
mobley_4035953; 	 o-cresol 	; phenol or hydroxyhetarene; aromatic
mobley_4039055; 	 5-bromouracil 	; aryl bromide; oxo(het)arene; aromatic; heterocyclic
mobley_4043951; 	 pent-1-ene 	; alkene
mobley_4043987; 	 2-methylhexane 	; 
mobley_4059279; 	 1,4-dimethylpiperazine 	; tertiary amine; tertiary aliphatic amine (trialkylamine); heterocyclic
mobley_4149784; 	 2,7-dichlorodibenzo-p-dioxin 	; diaryl ether; aryl chloride; aromatic; heterocyclic
mobley_4177472; 	 2,3,4-trimethylpentane 	; 
mobley_4188615; 	 N,N-dimethylbenzamide 	; tertiary carboxylic acid amide; aromatic
mobley_4193752; 	 nitrobenzene 	; nitro; aromatic
mobley_4218209; 	 4-methoxyaniline 	; alkyl aryl ether; primary amine; primary aromatic amine; aromatic
mobley_4219614; 	 1,2,3,4-tetrachlorobenzene 	; aryl chloride; aromatic
mobley_4252724; 	 isobutylbenzene 	; aromatic
mobley_4287564; 	 2-methylpyridine 	; aromatic; heterocyclic
mobley_4291494; 	 2-chloropyridine 	; aryl chloride; aromatic; heterocyclic
mobley_430089; 	 pent-1-yne 	; alkyne
mobley_4305650; 	 propanenitrile 	; carbonitrile
mobley_4338603; 	 6-chlorouracil 	; aryl chloride; oxo(het)arene; aromatic; heterocyclic
mobley_4364398; 	 iodomethane 	; alkyl iodide
mobley_4371692; 	 1-amino-4-hydroxy-9,10-anthracenedione 	; ketone; phenol or hydroxyhetarene; primary amine; primary aromatic amine; aromatic
mobley_4375719; 	 nonane 	; 
mobley_4395315; 	 4-chloro-3-methyl-phenol 	; phenol or hydroxyhetarene; aryl chloride; aromatic
mobley_4434915; 	 chloromethane 	; alkyl chloride
mobley_4463913; 	 1-acetoxyethyl acetate 	; carboxylic acid ester
mobley_4465023; 	 (Z)-1,2-dichloroethylene 	; halogen derivative; alkene
mobley_4479135; 	 1,1-diphenylethene 	; alkene; aromatic
mobley_4483973; 	 fluorobenzene 	; aryl fluoride; aromatic
mobley_4494568; 	 1-bromo-4-methyl-benzene 	; aryl bromide; aromatic
mobley_4506634; 	 2-bromo-2-chloro-1,1,1-trifluoro-ethane 	; alkyl chloride; alkyl bromide
mobley_4553008; 	 1,4-dichlorobenzene 	; aryl chloride; aromatic
mobley_4561957; 	 2,3-dimethylbutane 	; 
mobley_4584540; 	 2,6-dimethylpyridine 	; aromatic; heterocyclic
mobley_4587267; 	 (2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol 	; primary alcohol; secondary alcohol; 1,2-diol
mobley_4603202; 	 1-chloro-2-(2-chloroethoxy)ethane 	; dialkyl ether; alkyl chloride
mobley_4609460; 	 ethyl paraben 	; phenol or hydroxyhetarene; carboxylic acid ester; aromatic
mobley_4613090; 	 1-benzylimidazole 	; aromatic; heterocyclic
mobley_4620651; 	 methyl cyclopropanecarboxylate 	; carboxylic acid ester
mobley_4630641; 	 1,2-dimethoxyethane 	; dialkyl ether
mobley_4639255; 	 ethylene glycol 	; primary alcohol; 1,2-diol
mobley_4678740; 	 m-bis(trifluoromethyl)benzene 	; halogen derivative; aromatic
mobley_4683624; 	 4-propylphenol 	; phenol or hydroxyhetarene; aromatic
mobley_4687447; 	 2-propoxyethanol 	; primary alcohol; dialkyl ether
mobley_468867; 	 heptachlor 	; alkyl chloride; alkene
mobley_4690963; 	 1,2-diethoxyethane 	; dialkyl ether
mobley_4694328; 	 octanal 	; aldehyde
mobley_4699732; 	 1,2-dichloropropane 	; alkyl chloride
mobley_4715906; 	 1,2-dimethylcyclohexane 	; 
mobley_4759887; 	 1-iodoheptane 	; alkyl iodide
mobley_4762983; 	 hept-1-ene 	; alkene
mobley_4780078; 	 2,4-dimethylphenol 	; phenol or hydroxyhetarene; aromatic
mobley_4792268; 	 pentanoic acid 	; carboxylic acid
mobley_4845722; 	 hexachlorobenzene 	; aryl chloride; aromatic
mobley_4850657; 	 methanesulfonyl chloride 	; sulfonyl halide
mobley_486214; 	 2,6-dimethoxyphenol 	; phenol or hydroxyhetarene; alkyl aryl ether; aromatic
mobley_4883284; 	 aniline 	; primary amine; primary aromatic amine; aromatic
mobley_4884177; 	 3-ethylpyridine 	; aromatic; heterocyclic
mobley_4893032; 	 pentanenitrile 	; carbonitrile
mobley_4924862; 	 isopentyl formate 	; carboxylic acid ester
mobley_49274; 	 hept-1-yne 	; alkyne
mobley_4934872; 	 diethoxymethoxybenzene 	; orthocarboxylic acid derivative; orthoester; aromatic
mobley_4936555; 	 2-(2,3-dimethylphenyl)aminobenzoic acid 	; secondary amine; secondary aromatic amine (diarylamine); carboxylic acid; aromatic
mobley_4964807; 	 nitroxyacetone 	; ketone; nitrate
mobley_4983965; 	 ethylsulfanylethane 	; thioether
mobley_5003962; 	 2-amino-9,10-anthraquinone 	; ketone; primary amine; primary aromatic amine; aromatic
mobley_5006685; 	 4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde 	; aldehyde; alkene
mobley_5026370; 	 pyridine-4-carbonitrile 	; carbonitrile; aromatic; heterocyclic
mobley_5052949; 	 1-propylsulfanylpropane 	; thioether
mobley_5056289; 	 2-methyltetrahydrofuran 	; dialkyl ether; heterocyclic
mobley_5063386; 	 2-nitrophenol 	; phenol or hydroxyhetarene; nitro; aromatic
mobley_5072416; 	 2-methoxyaniline 	; alkyl aryl ether; primary amine; primary aromatic amine; aromatic
mobley_5076071; 	 1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine 	; primary amine; primary aromatic amine; tertiary amine; tertiary aliphatic/aromatic amine (alkylarylamine); halogen derivative; nitro; aromatic
mobley_5079234; 	 heptan-1-ol 	; primary alcohol
mobley_5094777; 	 indane 	; aromatic
mobley_5110043; 	 2,6-dimethylnaphthalene 	; aromatic
mobley_511661; 	 butadiene 	; alkene
mobley_5123639; 	 4-methylpentan-2-ol 	; secondary alcohol
mobley_5157661; 	 isobutane 	; 
mobley_5200358; 	 aldicarb 	; thioether; carbamic acid
mobley_5220185; 	 2-ethylpyrazine 	; aromatic; heterocyclic
mobley_525934; 	 methanethiol 	; thiol (sulfanyl); alkylthiol
mobley_5263791; 	 1-ethylnaphthalene 	; aromatic
mobley_52782; 	 1,2-dinitroxyethane 	; nitrate
mobley_5282042; 	 Amitriptyline 	; tertiary amine; tertiary aliphatic amine (trialkylamine); alkene; aromatic
mobley_5286200; 	 1,4-dichlorobutane 	; alkyl chloride
mobley_5310099; 	 hex-1-ene 	; alkene
mobley_5311804; 	 phenylmethanol 	; primary alcohol; aromatic
mobley_5326154; 	 N,N-dimethylaniline 	; tertiary amine; tertiary aliphatic/aromatic amine (alkylarylamine); aromatic
mobley_5346580; 	 3,3-dimethylbutan-2-one 	; ketone
mobley_5347550; 	 2,2-dichloro-1,1-difluoro-1-methoxy-ethane 	; alkyl chloride; orthocarboxylic acid derivative
mobley_5371840; 	 2-chlorodibenzo-p-dioxin 	; diaryl ether; aryl chloride; aromatic; heterocyclic
mobley_5390332; 	 methyl butanoate 	; carboxylic acid ester
mobley_5393242; 	 diazinon 	; thiophosphoric acid ester; aromatic; heterocyclic
mobley_5445548; 	 cumene 	; aromatic
mobley_5449201; 	 n-pentane 	; 
mobley_5456566; 	 1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene 	; aryl chloride; aromatic
mobley_5467162; 	 4-tert-butylphenol 	; phenol or hydroxyhetarene; aromatic
mobley_5471704; 	 isopentyl acetate 	; carboxylic acid ester
mobley_547634; 	 2,3-dimethylnaphthalene 	; aromatic
mobley_5494918; 	 1,1,2,3,3,3-hexafluoroprop-1-ene 	; halogen derivative
mobley_5499659; 	 1-methylimidazole 	; aromatic; heterocyclic
mobley_550662; 	 1,1,1-trimethoxyethane 	; orthocarboxylic acid derivative; orthoester
mobley_5510474; 	 1,2,3,4-tetrachlorodibenzo-p-dioxin 	; diaryl ether; aryl chloride; aromatic; heterocyclic
mobley_5518547; 	 4-methylaniline 	; primary amine; primary aromatic amine; aromatic
mobley_5520946; 	 benzenethiol 	; thiol (sulfanyl); arylthiol (thiophenol); aromatic
mobley_5538249; 	 1,3,5-trichloro-2-phenyl-benzene 	; aryl chloride; aromatic
mobley_5561855; 	 1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene 	; aryl chloride; aromatic
mobley_5571660; 	 2,6-dimethylaniline 	; primary amine; primary aromatic amine; aromatic
mobley_5600967; 	 4-methoxy-N,N-dimethyl-benzamide 	; alkyl aryl ether; tertiary carboxylic acid amide; aromatic
mobley_5616693; 	 (2S,5R)-2-isopropyl-5-methylcyclohexanone 	; ketone
mobley_5627459; 	 2-methylpropanal 	; aldehyde
mobley_5631798; 	 ammonia 	; 
mobley_5665561; 	 1,3-dimethylnaphthalene 	; aromatic
mobley_5690766; 	 hexa-1,5-diene 	; alkene
mobley_5692472; 	 N-methylmethanamine 	; secondary amine; secondary aliphatic amine (dialkylamine)
mobley_5708811; 	 dicamba 	; alkyl aryl ether; aryl chloride; carboxylic acid; aromatic
